review_text,cluster
"When I open my g-cash, I got to choose later & try again then G-cash icon automatically disappearing in my phone after choosing later so I un-installed and download g-cash again. Fix your g-cash apps.",5.0
Stupid app i used my original psa but they told me that my verification is unsuccessful not real? what the heck!,3.0
app keeps disappearing,5.0
Good but I can't dl it anymore why?,5.0
Lage nawawala sa cp ko di ko.alam kung bakit.,2.0
Yes its nice this app,0.0
Malaking tulong Ang gcash Sa pagbabayad ng mga bills,5.0
Lagi nalang may pa update wala namang nababago sa service,2.0
Bulok hirap mag verify kahit malinaw magsara na kayo,2.0
Can't create new gcash account can't recieve otp my new sim i have a full unli data but can't receive otp even i reboot my cp,1.0
Verifying an account is so disgusting.,3.0
It's easier way to send and a payment and send money to. Your love ones and less hustle it's very useful for me,0.0
Every time I installed it it well go away from my phone pls fix this bug 👾,5.0
"Such a terrible experience. I had to verify my email, then they sent me a code and it was so slow it would take a minute to get it and when i type it the code is already expired and i kept on doing the same thing until they told me i've already reached the attemtp limit, what a bad experience, i'm giving it three star",1.0
"Verifying system sucks, Need a heavy emprovemnt. System verification on student users is fricking worst, Ya know?",4.0
The last time I made a account it was so easy but now I lost my phone and sim so I tried making another account. It won't send me the authentication code even if I press the resend. Please fix this problem about making a new account because alot of people are using it. This app is very useful but now I feel like this app is a piece of trash.,1.0
NOT ABLE TO VERIFY ACCOUNT,3.0
Disappearing on my phone. I already install and uninstall the app.,5.0
the gcash always disappeared from my phone once i installed it my god gcash,5.0
"This app i cant take it anymore when i open it it always dissapear, when i sign in it says unclear but its so clean",4.0
Bruh I'm registering but nothing send me a code in my phone number like bro fix this thing,1.0
Error cash in via PayPal please re-link your PayPal account to your gcash account. pls fix this.,1.0
"Helps me pay my bills, pay for purchases etc. Although my account is fully verified, I can't unlock some of its features. But I guess it is what it is.",5.0
It's not like it always tell me that I've reach my acc limit to 8k even thou I've fully verified my gcash acc,3.0
"is it just me or always nawawala sa phone ko ang app and i always have to reinstall when i need to use it which is super hassle. i hope globe can fix this problem, ang takot ko lang is baka there will come a time na nag reinstall ako wala nang balance ang gcash ko. pls fix your security gcash especially marami nang dependent sa service niyo.",2.0
Why need to update every month,6.0
